1 0
294 10584
5 74 0.511288
5 75 0.277963
5 76 0.47465
5 77 0.461168
5 78 0.573549
5 79 0.529757
5 80 0.603045
5 81 0.460944
5 82 0.540382
5 83 0.614667
6 42 0.600551
6 43 0.567192
6 44 0.468333
6 45 0.570727
6 46 0.615667
6 47 0.405319
6 48 0.591093
6 49 0.520175
6 50 0.582957
6 51 0.610579
6 52 0.620503
6 53 0.597134
6 54 0.579136
6 55 0.541107
6 56 0.449114
6 57 0.457823
6 58 0.569658
6 59 0.562416
6 60 0.622176
6 61 0.650144
6 62 0.620821
6 63 0.583165
6 64 0.545555
6 65 0.384541
6 66 0.468203
6 67 0.515045
6 68 0.581469
6 69 0.572518
6 70 0.607484
6 71 0.550401
6 72 0.521954
6 73 0.494437
6 74 0.511288
6 75 0.277963
6 76 0.47465
6 77 0.461168
6 78 0.573549
6 79 0.529757
6 80 0.603045
6 81 0.460944
6 82 0.540382
6 83 0.614667
7 42 0.600551
7 43 0.567192
7 44 0.468333
7 45 0.570727
7 46 0.615667
7 47 0.405319
7 48 0.591093
7 49 0.520175
7 50 0.582957
7 51 0.610579
7 52 0.620503
7 53 0.597134
7 54 0.579136
7 55 0.541107
7 56 0.449114
7 57 0.457823
7 58 0.569658
7 59 0.562416
7 60 0.622176
7 61 0.650144
7 62 0.620821
7 63 0.583165
7 64 0.545555
7 65 0.384541
7 66 0.468203
7 67 0.515045
7 68 0.581469
7 69 0.572518
7 70 0.607484
7 71 0.550401
7 72 0.521954
7 73 0.494437
7 74 0.511288
7 75 0.277963
7 76 0.47465
7 77 0.461168
7 78 0.573549
7 79 0.529757
7 80 0.603045
7 81 0.460944
7 82 0.540382
7 83 0.614667
8 42 0.600551
8 43 0.567192
8 44 0.468333
8 45 0.570727
8 46 0.615667
8 47 0.405319
8 48 0.591093
8 49 0.520175
8 50 0.582957
8 51 0.610579
8 52 0.620503
8 53 0.597134
8 54 0.579136
8 55 0.541107
8 56 0.449114
8 57 0.457823
8 58 0.569658
8 59 0.562416
8 60 0.622176
8 61 0.650144
8 62 0.620821
8 63 0.583165
8 64 0.545555
8 65 0.384541
8 66 0.468203
8 67 0.515045
8 68 0.581469
8 69 0.572518
8 70 0.607484
8 71 0.550401
8 72 0.521954
8 73 0.494437
8 74 0.511288
8 75 0.277963
8 76 0.47465
8 77 0.461168
8 78 0.573549
8 79 0.529757
8 80 0.603045
8 81 0.460944
8 82 0.540382
8 83 0.614667
9 42 0.600551
9 43 0.567192
9 44 0.468333
9 45 0.570727
9 46 0.615667
9 47 0.405319
9 48 0.591093
9 49 0.520175
9 50 0.582957
9 51 0.610579
9 52 0.620503
9 53 0.597134
9 54 0.579136
9 55 0.541107
9 56 0.449114
9 57 0.457823
9 58 0.569658
9 59 0.562416
9 60 0.622176
9 61 0.650144
9 62 0.620821
9 63 0.583165
9 64 0.545555
9 65 0.384541
9 66 0.468203
9 67 0.515045
9 68 0.581469
9 69 0.572518
9 70 0.607484
9 71 0.550401
9 72 0.521954
9 73 0.494437
9 74 0.511288
9 75 0.277963
9 76 0.47465
9 77 0.461168
9 78 0.573549
9 79 0.529757
9 80 0.603045
9 81 0.460944
9 82 0.540382
9 83 0.614667
10 42 0.600551
10 43 0.567192
10 44 0.468333
10 45 0.570727
10 46 0.615667
10 47 0.405319
10 48 0.591093
10 49 0.520175
10 50 0.582957
10 51 0.610579
10 52 0.620503
10 53 0.597134
10 54 0.579136
10 55 0.541107
10 56 0.449114
10 57 0.457823
10 58 0.569658
10 59 0.562416
10 60 0.622176
10 61 0.650144
10 62 0.620821
10 63 0.583165
10 64 0.545555
10 65 0.384541
10 66 0.468203
10 67 0.515045
10 68 0.581469
10 69 0.572518
10 70 0.607484
10 71 0.550401
10 72 0.521954
10 73 0.494437
10 74 0.511288
10 75 0.277963
10 76 0.47465
10 77 0.461168
10 78 0.573549
10 79 0.529757
10 80 0.603045
10 81 0.460944
10 82 0.540382
10 83 0.614667
11 42 0.600551
11 43 0.567192
11 44 0.468333
11 45 0.570727
11 46 0.615667
11 47 0.405319
11 48 0.591093
11 49 0.520175
11 50 0.582957
11 51 0.610579
11 52 0.620503
11 53 0.597134
11 54 0.579136
11 55 0.541107
11 56 0.449114
11 57 0.457823
11 58 0.569658
11 59 0.562416
11 60 0.622176
11 61 0.650144
11 62 0.620821
11 63 0.583165
11 64 0.545555
11 65 0.384541
11 66 0.468203
11 67 0.515045
11 68 0.581469
11 69 0.572518
11 70 0.607484
11 71 0.550401
11 72 0.521954
11 73 0.494437
11 74 0.511288
11 75 0.277963
11 76 0.47465
11 77 0.461168
11 78 0.573549
11 79 0.529757
11 80 0.603045
11 81 0.460944
11 82 0.540382
11 83 0.614667
12 42 0.600551
12 43 0.567192
12 44 0.468333
12 45 0.570727
12 46 0.615667
12 47 0.405319
12 48 0.591093
12 49 0.520175
12 50 0.582957
12 51 0.610579
12 52 0.620503
12 53 0.597134
12 54 0.579136
12 55 0.541107
12 56 0.449114
12 57 0.457823
12 58 0.569658
12 59 0.562416
12 60 0.622176
12 61 0.650144
12 62 0.620821
12 63 0.583165
12 64 0.545555
12 65 0.384541
12 66 0.468203
12 67 0.515045
12 68 0.581469
12 69 0.572518
12 70 0.607484
12 71 0.550401
12 72 0.521954
12 73 0.494437
12 74 0.511288
12 75 0.277963
12 76 0.47465
12 77 0.461168
12 78 0.573549
12 79 0.529757
12 80 0.603045
12 81 0.460944
12 82 0.540382
12 83 0.614667
13 42 0.600551
13 43 0.567192
13 44 0.468333
13 45 0.570727
13 46 0.615667
13 47 0.405319
13 48 0.591093
13 49 0.520175
13 50 0.582957
13 51 0.610579
13 52 0.620503
13 53 0.597134
13 54 0.579136
13 55 0.541107
13 56 0.449114
13 57 0.457823
13 58 0.569658
13 59 0.562416
13 60 0.622176
13 61 0.650144
13 62 0.620821
13 63 0.583165
13 64 0.545555
13 65 0.384541
13 66 0.468203
13 67 0.515045
13 68 0.581469
13 69 0.572518
13 70 0.607484
13 71 0.550401
13 72 0.521954
13 73 0.494437
13 74 0.511288
13 75 0.277963
13 76 0.47465
13 77 0.461168
13 78 0.573549
13 79 0.529757
13 80 0.603045
13 81 0.460944
13 82 0.540382
13 83 0.614667
14 42 0.600551
14 43 0.567192
14 44 0.468333
14 45 0.570727
14 46 0.615667
14 47 0.405319
14 48 0.591093
14 49 0.520175
14 50 0.582957
14 51 0.610579
14 52 0.620503
14 53 0.597134
14 54 0.579136
14 55 0.541107
14 56 0.449114
14 57 0.457823
14 58 0.569658
14 59 0.562416
14 60 0.622176
14 61 0.650144
14 62 0.620821
14 63 0.583165
14 64 0.545555
14 65 0.384541
14 66 0.468203
14 67 0.515045
14 68 0.581469
14 69 0.572518
14 70 0.607484
14 71 0.550401
14 72 0.521954
14 73 0.494437
14 74 0.511288
14 75 0.277963
14 76 0.47465
14 77 0.461168
14 78 0.573549
14 79 0.529757
14 80 0.603045
14 81 0.460944
14 82 0.540382
14 83 0.614667
15 42 0.600551
15 43 0.567192
15 44 0.468333
15 45 0.570727
15 46 0.615667
15 47 0.405319
15 48 0.591093
15 49 0.520175
15 50 0.582957
15 51 0.610579
15 52 0.620503
15 53 0.597134
15 54 0.579136
15 55 0.541107
15 56 0.449114
15 57 0.457823
15 58 0.569658
15 59 0.562416
15 60 0.622176
15 61 0.650144
15 62 0.620821
15 63 0.583165
15 64 0.545555
15 65 0.384541
15 66 0.468203
15 67 0.515045
15 68 0.581469
15 69 0.572518
15 70 0.607484
15 71 0.550401
15 72 0.521954
15 73 0.494437
15 74 0.511288
15 75 0.277963
15 76 0.47465
15 77 0.461168
15 78 0.573549
15 79 0.529757
15 80 0.603045
15 81 0.460944
15 82 0.540382
15 83 0.614667
16 42 0.600551
16 43 0.567192
16 44 0.468333
16 45 0.570727
16 46 0.615667
16 47 0.405319
16 48 0.591093
16 49 0.520175
16 50 0.582957
16 51 0.610579
16 52 0.620503
16 53 0.597134
16 54 0.579136
16 55 0.541107
16 56 0.449114
16 57 0.457823
16 58 0.569658
16 59 0.562416
16 60 0.622176
16 61 0.650144
16 62 0.620821
16 63 0.583165
16 64 0.545555
16 65 0.384541
16 66 0.468203
16 67 0.515045
16 68 0.581469
16 69 0.572518
16 70 0.607484
16 71 0.550401
16 72 0.521954
16 73 0.494437
16 74 0.511288
16 75 0.277963
16 76 0.47465
16 77 0.461168
16 78 0.573549
16 79 0.529757
16 80 0.603045
16 81 0.460944
16 82 0.540382
16 83 0.614667
17 42 0.600551
17 43 0.567192
17 44 0.468333
17 45 0.570727
17 46 0.615667
17 47 0.405319
17 48 0.591093
17 49 0.520175
17 50 0.582957
17 51 0.610579
17 52 0.620503
17 53 0.597134
17 54 0.579136
17 55 0.541107
17 56 0.449114
17 57 0.457823
17 58 0.569658
17 59 0.562416
17 60 0.622176
17 61 0.650144
17 62 0.620821
17 63 0.583165
17 64 0.545555
17 65 0.384541
17 66 0.468203
17 67 0.515045
17 68 0.581469
17 69 0.572518
17 70 0.607484
17 71 0.550401
17 72 0.521954
17 73 0.494437
17 74 0.511288
17 75 0.277963
17 76 0.47465
17 77 0.461168
17 78 0.573549
17 79 0.529757
17 80 0.603045
17 81 0.460944
17 82 0.540382
17 83 0.614667
18 42 0.600551
18 43 0.567192
18 44 0.468333
18 45 0.570727
18 46 0.615667
18 47 0.405319
18 48 0.591093
18 49 0.520175
18 50 0.582957
18 51 0.610579
18 52 0.620503
18 53 0.597134
18 54 0.579136
18 55 0.541107
18 56 0.449114
18 57 0.457823
18 58 0.569658
18 59 0.562416
18 60 0.622176
18 61 0.650144
18 62 0.620821
18 63 0.583165
18 64 0.545555
18 65 0.384541
18 66 0.468203
18 67 0.515045
18 68 0.581469
18 69 0.572518
18 70 0.607484
18 71 0.550401
18 72 0.521954
18 73 0.494437
18 74 0.511288
18 75 0.277963
18 76 0.47465
18 77 0.461168
18 78 0.573549
18 79 0.529757
18 80 0.603045
18 81 0.460944
18 82 0.540382
18 83 0.614667
19 42 0.600551
19 43 0.567192
19 44 0.468333
19 45 0.570727
19 46 0.615667
19 47 0.405319
19 48 0.591093
19 49 0.520175
19 50 0.582957
19 51 0.610579
19 52 0.620503
19 53 0.597134
19 54 0.579136
19 55 0.541107
19 56 0.449114
19 57 0.457823
19 58 0.569658
19 59 0.562416
19 60 0.622176
19 61 0.650144
19 62 0.620821
19 63 0.583165
19 64 0.545555
19 65 0.384541
19 66 0.468203
19 67 0.515045
19 68 0.581469
19 69 0.572518
19 70 0.607484
19 71 0.550401
19 72 0.521954
19 73 0.494437
19 74 0.511288
19 75 0.277963
19 76 0.47465
19 77 0.461168
19 78 0.573549
19 79 0.529757
19 80 0.603045
19 81 0.460944
19 82 0.540382
19 83 0.614667
20 42 0.600551
20 43 0.567192
20 44 0.468333
20 45 0.570727
20 46 0.615667
20 47 0.405319
20 48 0.591093
20 49 0.520175
20 50 0.582957
20 51 0.610579
20 52 0.620503
20 53 0.597134
20 54 0.579136
20 55 0.541107
20 56 0.449114
20 57 0.457823
20 58 0.569658
20 59 0.562416
20 60 0.622176
20 61 0.650144
20 62 0.620821
20 63 0.583165
20 64 0.545555
20 65 0.384541
20 66 0.468203
20 67 0.515045
20 68 0.581469
20 69 0.572518
20 70 0.607484
20 71 0.550401
20 72 0.521954
20 73 0.494437
20 74 0.511288
20 75 0.277963
20 76 0.47465
20 77 0.461168
20 78 0.573549
20 79 0.529757
20 80 0.603045
20 81 0.460944
20 82 0.540382
20 83 0.614667
21 42 0.600551
21 43 0.567192
21 44 0.468333
21 45 0.570727
21 46 0.615667
21 47 0.405319
21 48 0.591093
21 49 0.520175
21 50 0.582957
21 51 0.610579
21 52 0.620503
21 53 0.597134
21 54 0.579136
21 55 0.541107
21 56 0.449114
21 57 0.457823
21 58 0.569658
21 59 0.562416
21 60 0.622176
21 61 0.650144
21 62 0.620821
21 63 0.583165
21 64 0.545555
21 65 0.384541
21 66 0.468203
21 67 0.515045
21 68 0.581469
21 69 0.572518
21 70 0.607484
21 71 0.550401
21 72 0.521954
21 73 0.494437
21 74 0.511288
21 75 0.277963
21 76 0.47465
21 77 0.461168
21 78 0.573549
21 79 0.529757
21 80 0.603045
21 81 0.460944
21 82 0.540382
21 83 0.614667
22 42 0.600551
22 43 0.567192
22 44 0.468333
22 45 0.570727
22 46 0.615667
22 47 0.405319
22 48 0.591093
22 49 0.520175
22 50 0.582957
22 51 0.610579
22 52 0.620503
22 53 0.597134
22 54 0.579136
22 55 0.541107
22 56 0.449114
22 57 0.457823
22 58 0.569658
22 59 0.562416
22 60 0.622176
22 61 0.650144
22 62 0.620821
22 63 0.583165
22 64 0.545555
22 65 0.384541
22 66 0.468203
22 67 0.515045
22 68 0.581469
22 69 0.572518
22 70 0.607484
22 71 0.550401
22 72 0.521954
22 73 0.494437
22 74 0.511288
22 75 0.277963
22 76 0.47465
22 77 0.461168
22 78 0.573549
22 79 0.529757
22 80 0.603045
22 81 0.460944
22 82 0.540382
22 83 0.614667
23 42 0.600551
23 43 0.567192
23 44 0.468333
23 45 0.570727
23 46 0.615667
23 47 0.405319
23 48 0.591093
23 49 0.520175
23 50 0.582957
23 51 0.610579
23 52 0.620503
23 53 0.597134
23 54 0.579136
23 55 0.541107
23 56 0.449114
23 57 0.457823
23 58 0.569658
23 59 0.562416
23 60 0.622176
23 61 0.650144
23 62 0.620821
23 63 0.583165
23 64 0.545555
23 65 0.384541
23 66 0.468203
23 67 0.515045
23 68 0.581469
23 69 0.572518
23 70 0.607484
23 71 0.550401
23 72 0.521954
23 73 0.494437
23 74 0.511288
23 75 0.277963
23 76 0.47465
23 77 0.461168
23 78 0.573549
23 79 0.529757
23 80 0.603045
23 81 0.460944
23 82 0.540382
23 83 0.614667
24 42 0.600551
24 43 0.567192
24 44 0.468333
24 45 0.570727
24 46 0.615667
24 47 0.405319
24 48 0.591093
24 49 0.520175
24 50 0.582957
24 51 0.610579
24 52 0.620503
24 53 0.597134
24 54 0.579136
24 55 0.541107
24 56 0.449114
24 57 0.457823
24 58 0.569658
24 59 0.562416
24 60 0.622176
24 61 0.650144
24 62 0.620821
24 63 0.583165
24 64 0.545555
24 65 0.384541
24 66 0.468203
24 67 0.515045
24 68 0.581469
24 69 0.572518
24 70 0.607484
24 71 0.550401
24 72 0.521954
24 73 0.494437
24 74 0.511288
24 75 0.277963
24 76 0.47465
24 77 0.461168
24 78 0.573549
24 79 0.529757
24 80 0.603045
24 81 0.460944
24 82 0.540382
24 83 0.614667
25 42 0.600551
25 43 0.567192
25 44 0.468333
25 45 0.570727
25 46 0.615667
25 47 0.405319
25 48 0.591093
25 49 0.520175
25 50 0.582957
25 51 0.610579
25 52 0.620503
25 53 0.597134
25 54 0.579136
25 55 0.541107
25 56 0.449114
25 57 0.457823
25 58 0.569658
25 59 0.562416
25 60 0.622176
25 61 0.650144
25 62 0.620821
25 63 0.583165
25 64 0.545555
25 65 0.384541
25 66 0.468203
25 67 0.515045
25 68 0.581469
25 69 0.572518
25 70 0.607484
25 71 0.550401
25 72 0.521954
25 73 0.494437
25 74 0.511288
25 75 0.277963
25 76 0.47465
25 77 0.461168
25 78 0.573549
25 79 0.529757
25 80 0.603045
25 81 0.460944
25 82 0.540382
25 83 0.614667
26 42 0.600551
26 43 0.567192
26 44 0.468333
26 45 0.570727
26 46 0.615667
26 47 0.405319
26 48 0.591093
26 49 0.520175
26 50 0.582957
26 51 0.610579
26 52 0.620503
26 53 0.597134
26 54 0.579136
26 55 0.541107
26 56 0.449114
26 57 0.457823
26 58 0.569658
26 59 0.562416
26 60 0.622176
26 61 0.650144
26 62 0.620821
26 63 0.583165
26 64 0.545555
26 65 0.384541
26 66 0.468203
26 67 0.515045
26 68 0.581469
26 69 0.572518
26 70 0.607484
26 71 0.550401
26 72 0.521954
26 73 0.494437
26 74 0.511288
26 75 0.277963
26 76 0.47465
26 77 0.461168
26 78 0.573549
26 79 0.529757
26 80 0.603045
26 81 0.460944
26 82 0.540382
26 83 0.614667
27 42 0.600551
27 43 0.567192
27 44 0.468333
27 45 0.570727
27 46 0.615667
27 47 0.405319
27 48 0.591093
27 49 0.520175
27 50 0.582957
27 51 0.610579
27 52 0.620503
27 53 0.597134
27 54 0.579136
27 55 0.541107
27 56 0.449114
27 57 0.457823
27 58 0.569658
27 59 0.562416
27 60 0.622176
27 61 0.650144
27 62 0.620821
27 63 0.583165
27 64 0.545555
27 65 0.384541
27 66 0.468203
27 67 0.515045
27 68 0.581469
27 69 0.572518
27 70 0.607484
27 71 0.550401
27 72 0.521954
27 73 0.494437
27 74 0.511288
27 75 0.277963
27 76 0.47465
27 77 0.461168
27 78 0.573549
27 79 0.529757
27 80 0.603045
27 81 0.460944
27 82 0.540382
27 83 0.614667
28 42 0.600551
28 43 0.567192
28 44 0.468333
28 45 0.570727
28 46 0.615667
28 47 0.405319
28 48 0.591093
28 49 0.520175
28 50 0.582957
28 51 0.610579
28 52 0.620503
28 53 0.597134
28 54 0.579136
28 55 0.541107
28 56 0.449114
28 57 0.457823
28 58 0.569658
28 59 0.562416
28 60 0.622176
28 61 0.650144
28 62 0.620821
28 63 0.583165
28 64 0.545555
28 65 0.384541
28 66 0.468203
28 67 0.515045
28 68 0.581469
28 69 0.572518
28 70 0.607484
28 71 0.550401
28 72 0.521954
28 73 0.494437
28 74 0.511288
28 75 0.277963
28 76 0.47465
28 77 0.461168
28 78 0.573549
28 79 0.529757
28 80 0.603045
28 81 0.460944
28 82 0.540382
28 83 0.614667
29 42 0.600551
29 43 0.567192
29 44 0.468333
29 45 0.570727
29 46 0.615667
29 47 0.405319
29 48 0.591093
29 49 0.520175
29 50 0.582957
29 51 0.610579
29 52 0.620503
29 53 0.597134
29 54 0.579136
29 55 0.541107
29 56 0.449114
29 57 0.457823
29 58 0.569658
29 59 0.562416
29 60 0.622176
29 61 0.650144
29 62 0.620821
29 63 0.583165
29 64 0.545555
29 65 0.384541
29 66 0.468203
29 67 0.515045
29 68 0.581469
29 69 0.572518
29 70 0.607484
29 71 0.550401
29 72 0.521954
29 73 0.494437
29 74 0.511288
29 75 0.277963
29 76 0.47465
29 77 0.461168
29 78 0.573549
29 79 0.529757
29 80 0.603045
29 81 0.460944
29 82 0.540382
29 83 0.614667
30 42 0.600551
30 43 0.567192
30 44 0.468333
30 45 0.570727
30 46 0.615667
30 47 0.405319
30 48 0.591093
30 49 0.520175
30 50 0.582957
30 51 0.610579
30 52 0.620503
30 53 0.597134
30 54 0.579136
30 55 0.541107
30 56 0.449114
30 57 0.457823
30 58 0.569658
30 59 0.562416
30 60 0.622176
30 61 0.650144
30 62 0.620821
30 63 0.583165
30 64 0.545555
30 65 0.384541
30 66 0.468203
30 67 0.515045
30 68 0.581469
30 69 0.572518
30 70 0.607484
30 71 0.550401
30 72 0.521954
30 73 0.494437
30 74 0.511288
30 75 0.277963
30 76 0.47465
30 77 0.461168
30 78 0.573549
30 79 0.529757
30 80 0.603045
30 81 0.460944
30 82 0.540382
30 83 0.614667
31 42 0.600551
31 43 0.567192
31 44 0.468333
31 45 0.570727
31 46 0.615667
31 47 0.405319
31 48 0.591093
31 49 0.520175
31 50 0.582957
31 51 0.610579
31 52 0.620503
31 53 0.597134
31 54 0.579136
31 55 0.541107
31 56 0.449114
31 57 0.457823
31 58 0.569658
31 59 0.562416
31 60 0.622176
31 61 0.650144
31 62 0.620821
31 63 0.583165
31 64 0.545555
31 65 0.384541
31 66 0.468203
31 67 0.515045
31 68 0.581469
31 69 0.572518
31 70 0.607484
31 71 0.550401
31 72 0.521954
31 73 0.494437
31 74 0.511288
31 75 0.277963
31 76 0.47465
31 77 0.461168
31 78 0.573549
31 79 0.529757
31 80 0.603045
31 81 0.460944
31 82 0.540382
31 83 0.614667
32 42 0.600551
32 43 0.567192
32 44 0.468333
32 45 0.570727
32 46 0.615667
32 47 0.405319
32 48 0.591093
32 49 0.520175
32 50 0.582957
32 51 0.610579
32 52 0.620503
32 53 0.597134
32 54 0.579136
32 55 0.541107
32 56 0.449114
32 57 0.457823
32 58 0.569658
32 59 0.562416
32 60 0.622176
32 61 0.650144
32 62 0.620821
32 63 0.583165
32 64 0.545555
32 65 0.384541
32 66 0.468203
32 67 0.515045
32 68 0.581469
32 69 0.572518
32 70 0.607484
32 71 0.550401
32 72 0.521954
32 73 0.494437
32 74 0.511288
32 75 0.277963
32 76 0.47465
32 77 0.461168
32 78 0.573549
32 79 0.529757
32 80 0.603045
32 81 0.460944
32 82 0.540382
32 83 0.614667
33 42 0.600551
33 43 0.567192
33 44 0.468333
33 45 0.570727
33 46 0.615667
33 47 0.405319
33 48 0.591093
33 49 0.520175
33 50 0.582957
33 51 0.610579
33 52 0.620503
33 53 0.597134
33 54 0.579136
33 55 0.541107
33 56 0.449114
33 57 0.457823
33 58 0.569658
33 59 0.562416
33 60 0.622176
33 61 0.650144
33 62 0.620821
33 63 0.583165
33 64 0.545555
33 65 0.384541
33 66 0.468203
33 67 0.515045
33 68 0.581469
33 69 0.572518
33 70 0.607484
33 71 0.550401
33 72 0.521954
33 73 0.494437
33 74 0.511288
33 75 0.277963
33 76 0.47465
33 77 0.461168
33 78 0.573549
33 79 0.529757
33 80 0.603045
33 81 0.460944
33 82 0.540382
33 83 0.614667
34 42 0.600551
34 43 0.567192
34 44 0.468333
34 45 0.570727
34 46 0.615667
34 47 0.405319
34 48 0.591093
34 49 0.520175
34 50 0.582957
34 51 0.610579
34 52 0.620503
34 53 0.597134
34 54 0.579136
34 55 0.541107
34 56 0.449114
34 57 0.457823
34 58 0.569658
34 59 0.562416
34 60 0.622176
34 61 0.650144
34 62 0.620821
34 63 0.583165
34 64 0.545555
34 65 0.384541
34 66 0.468203
34 67 0.515045
34 68 0.581469
34 69 0.572518
34 70 0.607484
34 71 0.550401
34 72 0.521954
34 73 0.494437
34 74 0.511288
34 75 0.277963
34 76 0.47465
34 77 0.461168
34 78 0.573549
34 79 0.529757
34 80 0.603045
34 81 0.460944
34 82 0.540382
34 83 0.614667
35 42 0.600551
35 43 0.567192
35 44 0.468333
35 45 0.570727
35 46 0.615667
35 47 0.405319
35 48 0.591093
35 49 0.520175
35 50 0.582957
35 51 0.610579
35 52 0.620503
35 53 0.597134
35 54 0.579136
35 55 0.541107
35 56 0.449114
35 57 0.457823
35 58 0.569658
35 59 0.562416
35 60 0.622176
35 61 0.650144
35 62 0.620821
35 63 0.583165
35 64 0.545555
35 65 0.384541
35 66 0.468203
35 67 0.515045
35 68 0.581469
35 69 0.572518
35 70 0.607484
35 71 0.550401
35 72 0.521954
35 73 0.494437
35 74 0.511288
35 75 0.277963
35 76 0.47465
35 77 0.461168
35 78 0.573549
35 79 0.529757
35 80 0.603045
35 81 0.460944
35 82 0.540382
35 83 0.614667
36 42 0.600551
36 43 0.567192
36 44 0.468333
36 45 0.570727
36 46 0.615667
36 47 0.405319
36 48 0.591093
36 49 0.520175
36 50 0.582957
36 51 0.610579
36 52 0.620503
36 53 0.597134
36 54 0.579136
36 55 0.541107
36 56 0.449114
36 57 0.457823
36 58 0.569658
36 59 0.562416
36 60 0.622176
36 61 0.650144
36 62 0.620821
36 63 0.583165
36 64 0.545555
36 65 0.384541
36 66 0.468203
36 67 0.515045
36 68 0.581469
36 69 0.572518
36 70 0.607484
36 71 0.550401
36 72 0.521954
36 73 0.494437
36 74 0.511288
36 75 0.277963
36 76 0.47465
36 77 0.461168
36 78 0.573549
36 79 0.529757
36 80 0.603045
36 81 0.460944
36 82 0.540382
